summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
browser.translation.ui.show should be available as a button in the translation toolbar        ,Firefox,Translation        ,2022-10-11    ,browsertranslationuishow available button translation toolbar ,0,"button, bar, show","bar, button, browser","bar, button"
add-on browser buttons can't be found by users after being removed from toolbar.        ,Firefox,Toolbars and Customi        ,2022-10-11    ,addon browser button cant found user removed toolbar ,0,"button, add, bar","bar, button, browser","bar, button"
"the ""page actions"" panel is misplaced after adding several buttons to the address bar        ",Firefox,Toolbars and Customi        ,2022-10-10    ,page action panel misplaced adding several button address bar ,0,"page, button, add, bar","bar, button","bar, button"
try extending the overflow toolbar button animation when using a non-default/light theme        ,Firefox,Theme        ,2021-06-22    ,try extending overflow toolbar button animation using nondefaultlight theme ,0,"button, bar","bar, button","bar, button"
side bar should have a ' slide out /in' button        ,Firefox,General        ,2022-10-10    ,side bar slide button ,0,"button, bar","bar, button","bar, button"
clicking on the toolbar buttons has no effect in some cases        ,Firefox,Toolbars and Customi        ,2022-10-10    ,clicking toolbar button effect case ,0,"button, bar","bar, button","bar, button"
improving the private window button in the window titlebar        ,Firefox,Toolbars and Customi        ,2022-10-11    ,improving private window button window titlebar ,1,"button, bar","window, private, bar, button","bar, button"
awesomebar not focused when middle-clicking home button        ,Firefox,Tabbed Browser        ,2022-10-11    ,awesomebar focused middleclicking home button ,0,"button, bar","bar, button","bar, button"
"typing in address bar, then pressing enter caused the ""restore"" button of about:sessionrestore to trigger.        ",Firefox,Session Restore        ,2022-10-11    ,typing address bar pressing enter caused restore button aboutsessionrestore trigger ,0,"button, add, bar","bar, button","bar, button"
[windows 10] screen reader adds text before it reads the buttons on proton infobars when these are triggered        ,Firefox,Messaging System        ,2022-01-10    ,window 10 screen reader add text read button proton infobars triggered ,1,"button, add, bar","window, 10, bar, screen, button","bar, button"
align confirmationhint for toolbar buttons closer to the button        ,Firefox,Toolbars and Customi        ,2021-05-17    ,align confirmationhint toolbar button closer button ,0,"button, bar","bar, close, button","bar, button"
"after showing onboarding tour screenshots, when you click the home toolbar button, ""about: home"" is shown instead of blank in the location bar        ",Firefox,Tours        ,2022-10-11    ,showing onboarding tour screenshots click home toolbar button home shown instead blank location bar ,0,"button, bar, show","bar, screen, button","bar, button"
doorhangers overflow off the screen if their buttons are placed too far right on the toolbar in maximized mode        ,Firefox,Toolbars and Customi        ,2022-10-11    ,doorhangers overflow screen button placed far right toolbar maximized mode ,0,"button, bar","bar, screen, button","bar, button"
no firefox taskbar button name when grouping multiple windows        ,Core,Widget: Win32        ,2022-10-11    ,firefox taskbar button name grouping multiple window ,1,"button, bar","window, bar, button","bar, button"
make the browser titlebar a toolbar even when the firefox button is hidden        ,Firefox,Toolbars and Customi        ,2022-10-10    ,make browser titlebar toolbar even firefox button hidden ,0,"button, bar","bar, button, browser","bar, button"
deleting or cutting url from address bar hides site info and page action buttons until the user pressed esc        ,Firefox,Address Bar        ,2022-10-11    ,deleting cutting url address bar hide site info page action button user pressed esc ,0,"page, button, add, bar","bar, button","bar, button"
give buttons placed in title bar look of caption buttons        ,Firefox,Theme        ,2022-10-10    ,give button placed title bar look caption button ,0,"button, bar","bar, button","bar, button"
"better support ""learn more"" link/button without infobar configuration workarounds        ",Firefox,Messaging System        ,2022-03-21    ,better support learn linkbutton without infobar configuration workarounds ,0,"button, bar, work","bar, button","bar, button"
"browser hang when trying to press toolbar buttons (file, edit, view, etc)        ",Firefox,General        ,2022-10-10    ,browser hang trying press toolbar button file edit view etc ,0,"file, button, bar","bar, button, browser","bar, button"
simplify adding toolbarbuttons to toolbars on extension firstrun.        ,Firefox,Toolbars and Customi        ,2022-10-10    ,simplify adding toolbarbuttons toolbars extension firstrun ,0,"button, add, bar","bar, button","bar, button"
"[ux] ""remove from toolbar"" for the downloads button may be confused with ""clear preview panel""        ",Firefox,Toolbars and Customi        ,2022-10-11    ,ux remove toolbar downloads button may confused clear preview panel ,0,"button, bar","bar, button","bar, button"
toolbar buttons cause bookmarks toolbar to grow taller.        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbar button cause bookmark toolbar grow taller ,0,"button, bookmark, bar","bar, button","bar, button"
toolbar buttons should follow gnome desktop wide settings when available        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbar button follow gnome desktop wide setting available ,0,"button, bar","bar, button","bar, button"
long press on zoom in/out toolbar button should keep zooming        ,Firefox,Toolbars and Customi        ,2022-10-10    ,long press zoom inout toolbar button keep zooming ,0,"button, bar","bar, button","bar, button"
"dark theme ""find in page"" infobar navigation buttons are too dark on macos        ",Firefox,Theme        ,2021-06-06    ,dark theme find page infobar navigation button dark macos ,0,"page, button, bar","bar, button","bar, button"
"on back/forward button hover, display the target in the location bar        ",Firefox,General        ,2022-10-10    ,backforward button hover display target location bar ,0,"button, bar","bar, button","bar, button"
colored title bar and buttons are grey/white        ,Firefox,Theme        ,2022-10-11    ,colored title bar button greywhite ,0,"button, bar","bar, button","bar, button"
add delete button to awesome bar result matches        ,Firefox,Address Bar        ,2022-10-10    ,add delete button awesome bar result match ,0,"button, add, bar","bar, button","bar, button"
classic button for bookmarks toolbar        ,Firefox,Theme        ,2022-10-10    ,classic button bookmark toolbar ,0,"button, bookmark, bar","bar, button","bar, button"
[hidpi] the bottom border of the forward button is larger than the location bar bottom border        ,Firefox,Theme        ,2022-10-10    ,hidpi bottom border forward button larger location bar bottom border ,0,"button, bar","bar, button","bar, button"
general sidebar button shortcut missing        ,Firefox,Toolbars and Customi        ,2022-10-11    ,general sidebar button shortcut missing ,0,"button, bar","bar, button","bar, button"
the “personalize” button has a blue “focus-visible” border if the button is in clicked state right after the address bar is focused        ,Firefox,New Tab Page        ,2021-01-21    ,personalize button blue focusvisible border button clicked state right address bar focused ,0,"button, add, bar","bar, button","bar, button"
holding the mouse on the scrollbar and releasing it on the close button will actually close firefox.        ,Core,Widget: Win32        ,2022-01-25    ,holding mouse scrollbar releasing close button actually close firefox ,0,"button, bar","bar, close, button","bar, button"
button to select the bookmarks folder that you want to be displayed on bookmarks toolbar        ,Firefox,Bookmarks & History        ,2022-10-11    ,button select bookmark folder want displayed bookmark toolbar ,0,"button, bookmark, bar","bar, button","bar, button"
"add ""show blocked popup(s)"" button to popup blocker message bar        ",Firefox,Security        ,2022-10-10    ,add show blocked popups button popup blocker message bar ,0,"button, add, bar, show","bar, button","bar, button"
[csd] firefox drawing aero titlebar buttons with custom windows theme        ,Core,Widget: Win32        ,2022-02-09    ,csd firefox drawing aero titlebar button custom window theme ,1,"button, bar","window, bar, button","bar, button"
badges of toolbar buttons with a `value` don't honour border-radius        ,Firefox,Theme        ,2022-10-10    ,badge toolbar button value dont honour borderradius ,0,"button, bar","bar, button","bar, button"
downloads library item selection color obscures status bar and cancel button        ,Firefox,Theme        ,2022-10-11    ,downloads library item selection color obscures status bar cancel button ,0,"button, bar","bar, button","bar, button"
windows 7 transparency in support bar affecting firefox control button        ,Firefox,General        ,2022-10-10    ,window 7 transparency support bar affecting firefox control button ,1,"button, bar","window, bar, button","bar, button"
"navigation toolbar disappears when downloads button is clicked, downloads button broken        ",Firefox,Toolbars and Customi        ,2022-10-11    ,navigation toolbar disappears downloads button clicked downloads button broken ,0,"button, bar","bar, button","bar, button"
add display name to toolbar button for firefox account        ,Firefox,Toolbars and Customi        ,2022-10-11    ,add display name toolbar button firefox account ,0,"button, add, bar","bar, button","bar, button"
bookmarks toolbar user-created button shows (empty) instead of tagged bookmarks        ,Firefox,Bookmarks & History        ,2022-10-11    ,bookmark toolbar usercreated button show empty instead tagged bookmark ,0,"button, bookmark, bar, show","bar, button","bar, button"
"outermost toolbar buttons should stick to the very edges of the screen, when window is maximized        ",Firefox,Theme        ,2022-10-10    ,outermost toolbar button stick edge screen window maximized ,1,"button, bar","window, bar, screen, button","bar, button"
picking up any button or bar from the right customization page changes antialiasing        ,Firefox,Toolbars and Customi        ,2022-10-11    ,picking button bar right customization page change antialiasing ,0,"page, button, bar","bar, button","bar, button"
"when editing the button bar, the button terminer blinks in blue but does take return press        ",Firefox,Toolbars and Customi        ,2022-10-10    ,editing button bar button terminer blink blue take return press ,0,"button, bar","bar, button","bar, button"
add the hability to remove the search button and add padding to address bar        ,Firefox,Toolbars and Customi        ,2022-10-11    ,add hability remove search button add padding address bar ,0,"button, add, bar, search","bar, button","bar, button"
"[experiment] there is no tooltip displayed if the ""dismiss"" button from the ""more from mozilla"" infobar is hovered        ",Firefox,Messaging System        ,2022-01-11    ,experiment tooltip displayed dismiss button mozilla infobar hovered ,0,"button, bar","bar, button","bar, button"
navigation toolbar button inconsistencies        ,Firefox,Theme        ,2022-10-10    ,navigation toolbar button inconsistency ,0,"button, bar","bar, button","bar, button"
in the devedition theme the back button doesn't connect to the url bar        ,Firefox,Theme        ,2022-10-11    ,devedition theme back button doesnt connect url bar ,0,"button, bar","bar, button","bar, button"
scrolling locked while havinf find bar open when opening an xml/xsl website.        ,Firefox,General        ,2022-10-10    ,scrolling locked havinf find bar open opening xmlxsl website ,0,"open, bar","open, bar, opening","bar, open"
we're sometimes creating an about:blank document in the sidebar browser when the window opens        ,Firefox,General        ,2022-10-11    ,sometimes creating aboutblank document sidebar browser window open ,1,"open, bar","window, open, bar, browser","bar, open"
both permission icons appear in the address bar when changing the permission in page info while the doorhanger is open        ,Firefox,Site Identity        ,2022-10-11    ,permission icon appear address bar changing permission page info doorhanger open ,0,"page, add, open, bar","open, bar","bar, open"
clicking library icon in toolbar does not open and causes clicked links to stop working        ,Firefox,Toolbars and Customi        ,2022-10-11    ,clicking library icon toolbar open cause clicked link stop working ,0,"open, bar, work","open, bar","bar, open"
"in ff 40.0.3 on os x 10.10.5, reordering bookmarks in bookmarks toolbar folders via drag-and-drop opens bookmarks        ",Firefox,Toolbars and Customi        ,2022-10-11    ,ff 4003 o x 10105 reordering bookmark bookmark toolbar folder via draganddrop open bookmark ,0,"bookmark, open, bar","open, 10, bar","bar, open"
window.open(url) uses different window if current window has minimised toolbar        ,Firefox,Tabbed Browser        ,2022-10-10    ,windowopenurl us different window current window minimised toolbar ,1,"open, bar","window, open, bar","bar, open"
"toolbar becomes temporarily unresponsive after opening a panel, not closing the panel, then clicking below the toolbar.        ",Firefox,Toolbars and Customi        ,2022-10-11    ,toolbar becomes temporarily unresponsive opening panel closing panel clicking toolbar ,0,"open, bar","open, bar, opening","bar, open"
urlbar/location bar/address bar text/url not updated when its popup/panel is open and pushstate or replacestate is called        ,Firefox,Address Bar        ,2022-10-11    ,urlbarlocation baraddress bar texturl updated popuppanel open pushstate replacestate called ,0,"add, open, bar","open, bar","bar, open"
location bar is cleared after a slight delay after opening private window        ,Firefox,Private Browsing        ,2022-10-11    ,location bar cleared slight delay opening private window ,1,"open, bar","window, open, private, bar, opening","bar, open"
shouldn't use alternate domain fixup when opening links except if using the url bar        ,Firefox,General        ,2022-10-11    ,shouldnt use alternate domain fixup opening link except using url bar ,0,"open, bar","open, bar, opening","bar, open"
control-e and control-a do not work on location bar when find box is open.        ,Firefox,Keyboard Navigation        ,2022-10-10    ,controle controla work location bar find box open ,0,"open, bar, work","open, bar","bar, open"
view pocket list from bookmarks toolbar icon opens log in page in private browsing mode        ,Firefox,Pocket        ,2022-10-11    ,view pocket list bookmark toolbar icon open log page private browsing mode ,0,"page, bookmark, open, bar","open, private, bar","bar, open"
"windows 10, taskbar at the top, firefox window is moved down on opening        ",Core,Widget: Win32        ,2022-10-11    ,window 10 taskbar top firefox window moved opening ,1,"open, bar","window, open, 10, bar, opening","bar, open"
customized bookmark toolbar order isn't respected when re-opening firefox        ,Firefox,Toolbars and Customi        ,2022-10-10    ,customized bookmark toolbar order isnt respected reopening firefox ,0,"bookmark, open, bar","open, bar, opening","bar, open"
the address bar remains empty if it takes a long time to connect to a host after opening a link in a new window        ,Firefox,Address Bar        ,2022-10-11    ,address bar remains empty take long time connect host opening link new window ,1,"add, open, bar","window, open, bar, opening","bar, open"
leave location bar suggestions open when i middle click or ctrl click an item        ,Firefox,Address Bar        ,2022-10-11    ,leave location bar suggestion open middle click ctrl click item ,0,"open, bar","open, bar","bar, open"
"""firefox translations"" always opens its translation bar        ",Firefox,Untriaged        ,2022-10-27    ,firefox translation always open translation bar ,0,"open, bar","open, bar","bar, open"
downloads complete correctly but sometimes the progress bar stops before the end. this is corrected if you close downloads and re-open.        ,Firefox,Downloads Panel        ,2022-10-11    ,downloads complete correctly sometimes progress bar stop end corrected close downloads reopen ,0,"open, bar","open, bar, close","bar, open"
window.open() calls create windows with read-only location/address bar in recent firefox        ,Core,DOM: Core & HTML        ,2021-07-27    ,windowopen call create window readonly locationaddress bar recent firefox ,1,"add, open, bar","window, open, bar","bar, open"
bookmarks bar empty when opening new window immediately after opening firefox on windows        ,Core,Graphics        ,Fri 04:07    ,bookmark bar empty opening new window immediately opening firefox window ,1,"bookmark, open, bar","window, open, bar, opening","bar, open"
sidebar open/closed per-window state is not restored after a restart        ,Firefox,Toolbars and Customi        ,2022-10-11    ,sidebar openclosed perwindow state restored restart ,0,"open, bar","window, open, bar, close","bar, open"
opening several external links makes the bookmarks toolbar to disappear        ,Firefox,Toolbars and Customi        ,2022-10-10    ,opening several external link make bookmark toolbar disappear ,0,"bookmark, open, bar","open, bar, opening","bar, open"
different taskbar icons for each opened firefox profile        ,Core,Widget: Win32        ,2022-05-13    ,different taskbar icon opened firefox profile ,0,"file, open, bar","open, bar, opened","bar, open"
customize mode entering should be disabled in chromeless windows (window.open without toolbars etc.) because it doesn't work.        ,Firefox,Toolbars and Customi        ,2022-10-11    ,customize mode entering disabled chromeless window windowopen without toolbars etc doesnt work ,1,"open, bar, work","window, open, bar","bar, open"
"using firefox to open files from disk shows those files under ""recent items"" on the taskbar, despite browser.taskbar.lists.enabled being false        ",Core,Widget: Win32        ,2020-09-21    ,using firefox open file disk show file recent item taskbar despite browsertaskbarlistsenabled false ,0,"file, open, bar, show","open, bar, browser","bar, open"
newest version disables taskbar hide when firefox is open        ,Core,Widget: Win32        ,2022-10-10    ,newest version disables taskbar hide firefox open ,0,"open, bar","open, bar","bar, open"
address bar is not focused when first firefox window is opened and add-on page is set as homepage        ,WebExtensions,Frontend        ,2022-10-11    ,address bar focused first firefox window opened addon page set homepage ,1,"page, add, open, bar","window, open, bar, opened","bar, open"
rows of repeating icons displayed in toolbar area if ff4b7 opened after ff3.6        ,Firefox,Toolbars and Customi        ,2022-10-10    ,row repeating icon displayed toolbar area ff4b7 opened ff36 ,0,"open, bar","open, bar, opened","bar, open"
aero glass glaze effect jumps down when mousing over links while find bar is open        ,Firefox,General        ,2022-10-10    ,aero glass glaze effect jump mousing link find bar open ,0,"open, bar","open, bar","bar, open"
allow webextensions to open/enable firefox ui elements (open file/bookmarks library/searchbar)        ,WebExtensions,General        ,2022-10-11    ,allow webextensions openenable firefox ui element open filebookmarks librarysearchbar ,0,"file, bookmark, open, bar, search","open, bar","bar, open"
"page info window's media list scrollbar's dragger has incorrect size when opened (gets updated on window maximize, but not on manual resize).        ",Firefox,Page Info Window        ,2022-10-11    ,page info window medium list scrollbars dragger incorrect size opened get updated window maximize manual resize ,1,"page, open, bar","window, open, bar, opened, size","bar, open"
can't open folder in bookmarks toolbar with touchscreen: closes immediately (ubuntu 14.04)        ,Firefox,Bookmarks & History        ,2022-10-11    ,cant open folder bookmark toolbar touchscreen close immediately ubuntu 1404 ,0,"bookmark, open, bar","open, bar, screen, close","bar, open"
sidebar request for option to open sidebar links in sidebar        ,Firefox,General        ,2022-10-10    ,sidebar request option open sidebar link sidebar ,0,"open, bar, option","open, bar","bar, open"
mousing across bookmarks bar with middle button down often opens bookmarks        ,Firefox,Disability Access        ,2021-01-05    ,mousing across bookmark bar middle button often open bookmark ,0,"button, bookmark, open, bar","open, bar, button","bar, open, button"
clicking the download button on the toolbar when download window is alread open does not hide window        ,Firefox,Toolbars and Customi        ,2022-10-10    ,clicking download button toolbar download window alread open hide window ,1,"button, open, bar","window, open, bar, button","bar, open, button"
toolbar button with an open panel closes panel but keeps button styled 'pressed' after resizing firefox        ,Firefox,Toolbars and Customi        ,2022-10-11    ,toolbar button open panel close panel keep button styled pressed resizing firefox ,0,"button, open, bar","open, bar, close, button","bar, open, button"
"after windows update, mozilla opened without favorites list and no ""return"" button in tool bar        ",Firefox,General        ,2022-10-10    ,window update mozilla opened without favorite list return button tool bar ,1,"button, open, bar","window, open, bar, button, opened","bar, open, button"
back button grays out when hitting during printing dialog        ,Firefox,Menus        ,2022-10-10    ,back button gray hitting printing dialog ,0,button,button,button
firefox - preferences dialog: hide duplicate close button in autoplay settings        ,Firefox,Settings UI        ,2022-10-11    ,firefox preference dialog hide duplicate close button autoplay setting ,0,button,"close, button",button
'view in mac app store' buttons not working for web links        ,Firefox,General        ,2022-10-10    ,view mac app store button working web link ,0,"button, work",button,button
"back arrow button ""greyed"" out and unusable (it is there, just unusable)        ",Firefox,Toolbars and Customi        ,2022-10-10    ,back arrow button greyed unusable unusable ,0,button,button,button
font for the buttons is not windows default        ,Firefox,Security        ,2022-10-10    ,font button window default ,1,button,"window, button",button
hid wireless left mouse button don't work fine when firefox is working        ,Firefox,General        ,2022-10-10    ,hid wireless left mouse button dont work fine firefox working ,0,"button, work",button,button
"i increase product amount through javascript button. when i click it whole page reloads (as written in js code assigned to button) but ff cant follow exact amount of times i pressed the button, while ie does it perfectly even when the page is reloaded        ",Firefox,General        ,2022-10-10    ,increase product amount javascript button click whole page reloads written j code assigned button ff cant follow exact amount time pressed button ie perfectly even page reloaded ,0,"page, button",button,button
back button duplicates current pagewhen using namoroka        ,Firefox,General        ,2022-10-10    ,back button duplicate current pagewhen using namoroka ,0,"page, button",button,button
ux: not all clickable items in the app provide button-like tap feedback        ,Firefox for iOS,General        ,2022-10-11    ,ux clickable item app provide buttonlike tap feedback ,0,button,button,button
"""make default"" button doesn't do anything        ",Firefox,Shell Integration        ,2022-10-11    ,make default button doesnt anything ,0,button,button,button
suggestion - quit button should have restart options        ,Firefox,Toolbars and Customi        ,2022-10-11    ,suggestion quit button restart option ,0,"button, option",button,button
"""view saved passwords"" button hides middle column.        ",Firefox,Page Info Window        ,2022-10-10    ,view saved password button hide middle column ,0,button,button,button
library button footers only show keyboard shortcut for bookmarks        ,Firefox,Menus        ,2022-10-11    ,library button footer show keyboard shortcut bookmark ,0,"button, bookmark, show",button,button
right click on firefox taskbutton does not works when firefox is executed without installation        ,Firefox,Shell Integration        ,2022-10-10    ,right click firefox taskbutton work firefox executed without installation ,0,"button, work",button,button
proximity of container underline is too close to the back button when full screen        ,Firefox,Security        ,2022-10-11    ,proximity container underline close back button full screen ,0,button,"screen, close, button",button
"""b button emoji"" renders differently on newest version of firefox        ",Core,Layout: Text and Fon        ,2022-10-11    ,b button emoji render differently newest version firefox ,0,button,button,button
preferences spotlight breaks back button        ,Firefox,Settings UI        ,2022-10-11    ,preference spotlight break back button ,0,button,button,button
"the ""wait"" button in the ""a web page is slowing down your browser. what would you like to do?"" dialog seems to be not consequent        ",Firefox,General        ,2022-10-11    ,wait button web page slowing browser would like dialog seems consequent ,0,"page, button","button, browser",button
firefox profile manager - delete profile - ui button text may lead to user error        ,Toolkit,Startup and Profile         ,2022-10-11    ,firefox profile manager delete profile ui button text may lead user error ,0,"file, button, error",button,button
"about:config shows empty page and needs extra button click to display, buttons is not visually indicated to be a button        ",Firefox,Settings UI        ,2020-09-14    ,aboutconfig show empty page need extra button click display button visually indicated button ,0,"page, button, show",button,button
back button hover state is visually imperceptible        ,Firefox,Theme        ,2022-10-10    ,back button hover state visually imperceptible ,0,button,button,button
buttons in firefox 14 are without background        ,Firefox,Toolbars and Customi        ,2022-10-10    ,button firefox 14 without background ,0,button,button,button
"""clear now"" ""cancel"" buttons will go out of dialog frame, when clicking any of check box at ""clear browsing history"" dialog        ",Firefox,Settings UI        ,2022-10-11    ,clear cancel button go dialog frame clicking check box clear browsing history dialog ,0,button,button,button
"firefox locks up when parsing invalid html containing <button><i class=""fa fa-reply"" /></button>        ",Core,DOM: HTML Parser        ,2022-10-11    ,firefox lock parsing invalid html containing buttoni classfa fareply button ,0,button,button,button
combined stop/reload buttons less intuitive than before and now preclude some use cases        ,Firefox,Toolbars and Customi        ,2022-10-10    ,combined stopreload button le intuitive preclude use case ,0,button,button,button
"[ux] add ""preview"" button to firefox print dialog        ",Core,Print Preview        ,2022-10-11    ,ux add preview button firefox print dialog ,0,"button, add",button,button
"[datetimeinput] input[type=""time""] styling not working in firefox 57 (for example ::-webkit-clear-button)        ",Core,Layout: Form Control        ,2022-10-11    ,datetimeinput inputtypetime styling working firefox 57 example webkitclearbutton ,0,"button, work",button,button
bookmark button doesn't work if outside ff window        ,Firefox,Bookmarks & History        ,2022-10-11    ,bookmark button doesnt work outside ff window ,1,"button, bookmark, work","window, button",button
remove master password dialog facilitates password guessing by activating the button when the password is correct        ,Firefox,Security        ,2022-10-10    ,remove master password dialog facilitates password guessing activating button password correct ,0,button,button,button
back and forward button history drop down not useable if certificate error page is in there        ,Firefox,Toolbars and Customi        ,2022-10-10    ,back forward button history drop useable certificate error page ,0,"page, button, error",button,button
home button not functional        ,Firefox,General        ,2022-10-10    ,home button functional ,0,button,button,button
width mismatch with two default buttons displayed sequentially by using a xul overlay        ,Firefox,General        ,2022-10-10    ,width mismatch two default button displayed sequentially using xul overlay ,0,button,button,button
feedback buttons not working when clicked on        ,Firefox,General        ,2022-10-10    ,feedback button working clicked ,0,"button, work",button,button
text on screenshot buttons is nearly invisible        ,Firefox,Screenshots        ,2022-10-11    ,text screenshot button nearly invisible ,0,button,"screen, button",button
"""check now"" button about update missing on preferences        ",Firefox,Settings UI        ,2022-10-11    ,check button update missing preference ,0,button,button,button
text block popping up when over a button shows last link that mouse pointer was over        ,Firefox,General        ,2022-10-10    ,text block popping button show last link mouse pointer ,0,"button, show",button,button
implement better download button for firefox nightly blog        ,Infrastructure & Ope,Blogs        ,2019-03-22    ,implement better download button firefox nightly blog ,0,button,button,button
[qac generated] subscribe buttons appears on pages with no subscription options        ,Firefox,General        ,2022-10-10    ,qac generated subscribe button appears page subscription option ,0,"page, button, option",button,button
back button sometimes greys out after upgrade to 3.6.12        ,Firefox,General        ,2022-10-10    ,back button sometimes grey upgrade 3612 ,0,button,button,button
youtube download button causes massive memory use resulting in a near freeze        ,Firefox,Extension Compatibil        ,2022-10-11    ,youtube download button cause massive memory use resulting near freeze ,0,button,button,button
[wfh] add profile switching to firefox account button        ,Firefox,Firefox Accounts        ,2022-10-11    ,wfh add profile switching firefox account button ,0,"file, button, add",button,button
feature request: mouse/keyboard button/gestures config        ,Firefox,Toolbars and Customi        ,2022-10-11    ,feature request mousekeyboard buttongestures config ,0,button,button,button
"tracking protection ""see how it works"" button should not be visible if feature is disabled        ",Firefox,Tours        ,2022-10-11    ,tracking protection see work button visible feature disabled ,0,"button, work",button,button
button not updated        ,Firefox,Menus        ,2022-10-10    ,button updated ,0,button,button,button
missing download button        ,Firefox,Toolbars and Customi        ,2022-10-10    ,missing download button ,0,button,button,button
the hover animation is not performed on the door hanger more information button        ,Firefox,Private Browsing        ,2022-10-11    ,hover animation performed door hanger information button ,0,button,button,button
"""update nightly"" dialog flickers in and out when switching spaces if the hamburger button is hidden (display:none) via userchrome.css        ",Firefox,General        ,2022-10-11    ,update nightly dialog flicker switching space hamburger button hidden displaynone via userchromecss ,0,button,button,button
windows 10 handwriting panel on-screen buttons don't work correctly in firefox        ,Core,Widget: Win32        ,2022-10-11    ,window 10 handwriting panel onscreen button dont work correctly firefox ,1,"button, work","window, 10, screen, button",button
firefox window button are trimed on ubuntu mate with csd        ,Core,Widget: Gtk        ,2022-10-11    ,firefox window button trimed ubuntu mate csd ,1,button,"window, button",button
when i click any link within a windows program the top half of the firefox button gets sliced off        ,Firefox,General        ,2022-10-10    ,click link within window program top half firefox button get sliced ,1,button,"window, button",button
browser close button        ,Firefox,General        ,2022-10-10    ,browser close button ,0,button,"close, button, browser",button
"slate/megaphone podcast ""download"" button doesn't actually trigger a download in firefox (it triggers an html5 audio embed instead)        ",Core,Audio/Video: Playbac        ,2022-10-11    ,slatemegaphone podcast download button doesnt actually trigger download firefox trigger html5 audio embed instead ,0,button,button,button
"when starting firefox with an in use profile with font scaling at 150%, button is cutoff in message        ",Toolkit,XUL Widgets        ,2022-10-11    ,starting firefox use profile font scaling 150 button cutoff message ,0,"file, button",button,button
popup buttons are outside screen if message is too long        ,Firefox,Security        ,2022-10-10    ,popup button outside screen message long ,0,button,"screen, button",button
"firefox crash when click ""apply and restart"" button for ""restart firefox to apply these changes"" under ""language""        ",Toolkit,Add-ons Manager        ,2022-05-16    ,firefox crash click apply restart button restart firefox apply change language ,0,button,button,button
search result tooltip shifts onto button in about:preferences        ,Firefox,Settings UI        ,2022-10-11    ,search result tooltip shift onto button aboutpreferences ,0,"button, search",button,button
refresh button flashes when subscribe button is placed to its left        ,Firefox,Toolbars and Customi        ,2022-10-10    ,refresh button flash subscribe button placed left ,0,button,button,button
bookmark tags icons are reset when clicking a button lol        ,Firefox,Bookmarks & History        ,2022-10-11    ,bookmark tag icon reset clicking button lol ,0,"button, bookmark",button,button
a line appears above the back button on hover        ,Firefox,Theme        ,2022-10-11    ,line appears back button hover ,0,button,button,button
transparent button glitch        ,Firefox,General        ,2022-10-10    ,transparent button glitch ,0,button,button,button
focus ring is too small on the new 'more information' button        ,Firefox,Theme        ,2022-10-11    ,focus ring small new information button ,0,button,button,button
bookmark button not working after system returning from standby        ,Firefox,Bookmarks & History        ,2022-10-11    ,bookmark button working system returning standby ,0,"button, bookmark, work",button,button
diamond shaped back button in firefox beta        ,Core,Graphics        ,2022-10-11    ,diamond shaped back button firefox beta ,0,button,button,button
"[mac] enter key doesn't activate focused “i'll be careful, i promise!” about:config button        ",Firefox,Keyboard Navigation        ,2022-10-11    ,mac enter key doesnt activate focused ill careful promise aboutconfig button ,0,button,button,button
"""most visited"" button moved to right after sync        ",Firefox,Sync        ,2022-10-10    ,visited button moved right sync ,0,button,button,button
back button ignores header caching directives        ,Firefox,General        ,2022-10-10    ,back button ignores header caching directive ,0,button,button,button
after update to 6.0 i noticed that my  minimize and button for close dissapear from the top corner        ,Firefox,Toolbars and Customi        ,2022-10-10    ,update 60 noticed minimize button close dissapear top corner ,0,button,"close, button",button
"if i am running a youtube video and then click the firefox ""back"" button it will lock up my pc so that even ctrl-alt-del does not work. i can run the same video on ie or chrome without any problems.        ",Core,Audio/Video: Playbac        ,2022-04-27    ,running youtube video click firefox back button lock pc even ctrlaltdel work run video ie chrome without problem ,0,"button, work",button,button
coffeeshop button: only load https web sites in untrusted networks        ,Firefox,Security        ,2022-10-11    ,coffeeshop button load http web site untrusted network ,0,"button, work",button,button
"invisible tap and taps at right side of the ""new tap"" button !! os win 7 firefox v.6        ",Firefox,General        ,2022-10-10    ,invisible tap tap right side new tap button o win 7 firefox v6 ,0,button,button,button
firefox with csd activated doesnt respect order of window control buttons        ,Core,Widget: Gtk        ,2022-10-11    ,firefox csd activated doesnt respect order window control button ,1,button,"window, button",button
backbutton display issue        ,Firefox,General        ,2022-10-10    ,backbutton display issue ,0,button,button,button
firefox last window cannot be closed with window's close ('x') button        ,Firefox,General        ,2022-10-10    ,firefox last window cannot closed window close x button ,1,button,"window, close, button",button
correct aria-owns usage between search box and one-off buttons        ,Firefox,Search        ,2021-02-05    ,correct ariaowns usage search box oneoff button ,0,"button, search",button,button
no allow button in privacy settings for microphone        ,Firefox,Settings UI        ,2021-08-17    ,allow button privacy setting microphone ,0,button,button,button
search [telemetry]: log usage of one-click search buttons in search field        ,Firefox,Search        ,2020-09-24    ,search telemetry log usage oneclick search button search field ,0,"button, search",button,button
