summary,cluster_tag,clusters
"javascript error: ""this.controller is undefined"" {file: ""chrome://browser/content/places/browserplacesviews.js"" line: 216}]        ",Functional Performance Bugs,2
"large svg file crashes firefox with exception_stack_overflow (with hundreds of nested <g transform=""translate...""> elements in testcase)        ",Functional Performance Bugs,2
changes to backend input files result in config.status during the build        ,Functional Performance Bugs,2
windows 8.1: setting firefox as default browser: files and protocols use icons from different branches        ,Functional Performance Bugs,2
top and bottom images are not displayed in pdf file        ,Functional Performance Bugs,2
don't use the normal firefox icon for ogg and pdf files        ,Functional Performance Bugs,2
mozilla print blank pdf files        ,Functional Performance Bugs,2
provide entrypoint to file bugs in firefox developer edition        ,Functional Performance Bugs,2
"interrupting e10s firefox with ctrl+c triggers ""###!!! abort: aborting on channel error.: file ipc/glue/messagechannel.cpp, line 1631"", and ""sleeping for 300 seconds"" in debug builds        ",Functional Performance Bugs,2
remove preprocessing from browser/components/shell xul file        ,Functional Performance Bugs,2
dragging a large number of files into a webpage hangs firefox on windows for some time        ,Functional Performance Bugs,2
"os x trying to run a profile from a mounted dmg file (read-only) shows error ""another copy of firefox is running"" (tor 14631)        ",Functional Performance Bugs,2
firefox can't play renamed .mp3 file        ,Functional Performance Bugs,2
leaving firefox running during a long time exhausts all my file descriptors        ,Functional Performance Bugs,2
[devtools][memory] don't hold fxsnapshot files in the windows temporary folder even if quit firefox        ,Functional Performance Bugs,2
"intermittent browser_save_video.js | video file name is correctly retrieved from content-disposition http header - got web_video1.ogv, expected web-video1-expectedname.ogv        ",Functional Performance Bugs,2
recent used external applications list (open with..) doesn't appear when downloading a file        ,Functional Performance Bugs,2
pdf files rendered with wrong color in firefox        ,Functional Performance Bugs,2
"'allow download' to access blocked file needs better string, implies user has to download again        ",Functional Performance Bugs,2
firefox file handling flow enhancement        ,Functional Performance Bugs,2
dragging a file from firefox's open file dialog to the windows desktop doesn't work        ,Functional Performance Bugs,2
[meta] protection from sites that try to download multiple files automatically        ,Functional Performance Bugs,2
[meta] remove the ability to delete opened files automatically after viewing them        ,Functional Performance Bugs,2
split file and protocol handlers in the preferences        ,Functional Performance Bugs,2
add a permission to allow sites to download multiple files automatically        ,Functional Performance Bugs,2
application selection for opening downloaded files is different between panel and library        ,Functional Performance Bugs,2
windows file picker janks entire browser (event chrome ui in e10s mode)        ,Functional Performance Bugs,2
please add desktop actions to the .desktop file        ,Functional Performance Bugs,2
"on windows, media file is locked if it was opened in firefox tab (can't delete file. can't delete/rename containing folder)        ",Functional Performance Bugs,2
renamed tar.gz files breaks linux archive manager        ,Functional Performance Bugs,2
"when requesting https file download from location bar, not warned if file is delivered over http instead        ",Functional Performance Bugs,2
marionette test files for chrome scope should not be shipped with firefox        ,Functional Performance Bugs,2
firefox hangs opening extremely large files on searchfox        ,Functional Performance Bugs,2
move about:sync-log from chrome process to file content process        ,Functional Performance Bugs,2
"when --jsdebugging is supplied, make it so that firefox-appdir doesn't need to be in the xpcshell.ini file        ",Functional Performance Bugs,2
go to download page option active in library for some downloaded files        ,Functional Performance Bugs,2
dragging image from firefox to desktop results in wrong file perms on osx        ,Functional Performance Bugs,2
remove file icon from download list for missing files in download library        ,Functional Performance Bugs,2
when downloading more than 6 files at the same time causes the downloads greater than 5 or 6 not to download or be displayed in the download panel        ,Functional Performance Bugs,2
firefox sometimes add .xls to .xml file when downloading with the correct mimetype        ,Functional Performance Bugs,2
main-thread load of etld file slows startup        ,Functional Performance Bugs,2
jank when downloading a file to a network drive        ,Functional Performance Bugs,2
save file dialog no longer appears for pdf's        ,Functional Performance Bugs,2
getscreenshot error: unix error 2 during operation open on file        ,Functional Performance Bugs,2
can't update <options | general | files and applications | applications> table for new <content type>        ,Functional Performance Bugs,2
cancelled downloads in private browsing will delete files of the same name on exit        ,Functional Performance Bugs,2
firefox gui freezes on saving files and navigating mtp device. possibly on slow filesystems as well        ,Functional Performance Bugs,2
"[parent 3196, gecko_iothread] warning: pipe error (155): conexión reinicializada por la máquina remota: file /build/firefox-xqemv3/firefox-57.0.3+build1/ipc/chromium/src/chrome/common/ipc_channel_posix.cc, line 353        ",Functional Performance Bugs,2
avoid file.exists() --> read file antipattern in migrator code        ,Functional Performance Bugs,2
opening file from download panel ignores mime type association but from library it works fine.        ,Functional Performance Bugs,2
unable to render specific pdf file.        ,Functional Performance Bugs,2
dragging/dropping a file destroys current tab history even if cancelled        ,Functional Performance Bugs,2
"incorrect suggested ""save page as"" file name for xslt files        ",Functional Performance Bugs,2
"assertion: need a gtk window for dialog to be modal.: 'gtkparent', file /builds/worker/workspace/build/src/widget/gtk/nsprintdialoggtk.cpp, line 168        ",Functional Performance Bugs,2
firefox interprets files with two content-type headers differently when reopening a closed tab        ,Functional Performance Bugs,2
ns_error_dom_media_metadata_err (0x806e0006) - firefox does not play mp3 file with riff header through htmlaudioelement        ,Functional Performance Bugs,2
file not present after doing save-as        ,Functional Performance Bugs,2
visual glitches are triggered on zoom inside a pdf. file        ,Functional Performance Bugs,2
default reading installer ini file from the same file as the installer        ,Functional Performance Bugs,2
investigate serving the list of executable files remotely or in a hotfixable way        ,Functional Performance Bugs,2
pdf download does not save file extension        ,Functional Performance Bugs,2
"[javascript error: ""typeerror: doc is null"" {file: ""resource:///actors/contextmenuchild.jsm"" line: 501}]        ",Functional Performance Bugs,2
clicking pdf viewer 'current view' button does not work for pdfs accessed from local file (cannot link to file: protocol from the unprivileged `resource` pdf viewer page)        ,Functional Performance Bugs,2
"""file moved or missing"" interaction is incorrect (can be hovered; shows magnifying glass) in downloads subview in the library        ",Functional Performance Bugs,2
"""open file"" obeys site-specified content types too aggressively        ",Functional Performance Bugs,2
opening a file downloaded as application/octet-stream has inconsistent behavior in firefox        ,Functional Performance Bugs,2
"tab store refactor: (1) debounce, (2) stop storing in db and as serialized file        ",Functional Performance Bugs,2
homepage.jsm tries to open about:home (or user-set homepage) as a .properties file        ,Functional Performance Bugs,2
cannot select firefox as a helper application for html files        ,Functional Performance Bugs,2
unable to open downloaded .mp4 file in firefox        ,Functional Performance Bugs,2
"warning: ns_ensure_true(!mhasorhashadownerwindow || mownerwindow) failed: file /builds/worker/workspace/build/src/obj-firefox/dist/include/mozilla/domeventtargethelper.h, line 145 when adding event listener on video.texttracks        ",Functional Performance Bugs,2
pdf output fails or is corrupted when switching tab during printing        ,User Interface,0
"global windows ""use as a mouse"" pen setting in firefox        ",User Interface,0
firefox frontmost window not working with multiple profiles        ,User Interface,0
pinned links in windows 7 jumplist disappear after upgrading firefox        ,User Interface,0
select all tabs + close one tab = close all tabs        ,User Interface,0
firefox 62 does not automatically resize if screen is smaller than the window size.        ,User Interface,0
firefox opens in the background when using choose profile feature in windows 10        ,User Interface,0
write reflow tests for tab reordering and tab detaching        ,User Interface,0
restore all tabs doesn't work when the only tab that's open is a new tab        ,User Interface,0
url content is announced before the tab switch event        ,User Interface,0
focused firefox windows (and another applications windows) become invisible when notifications from site identity block appear        ,User Interface,0
"[windows 7] the ""tab bar"" no longer respects the ""alpenglow"" theme colors if the browser is resized and the ""windows 7 basic"" os theme is active        ",User Interface,0
firefox sync cause windows jumplist broken        ,User Interface,0
[synced tabs sidebar] search box does not have clear icon on mac        ,User Interface,0
menus do not display correctly in multi screen environment if firefox window is not on primary screen        ,User Interface,0
[e10s] tab page thumbnail/preview intially appears blank right after dragging        ,User Interface,0
tab label and native title bar flashing when page reloaded(f5)        ,User Interface,0
slide tabs stuck        ,User Interface,0
"e10s ""busy tab spinner"" overlaying content while process not busy        ",User Interface,0
enhancement: optional setting to block pop-ups in same window        ,User Interface,0
australis tab gradient is too harsh on dark color themes        ,User Interface,0
"about:home and about:newtab have different zoom levels even when both are configured for home and new tabs, respectively        ",User Interface,0
pdf viewer's search highlight is barely distinguishable in windows high-contrast mode        ,User Interface,0
"when all other toolbars are hidden, tabs look ugly with any addon's toolbar.        ",User Interface,0
window gaps(left/right edge) when restoring previous sessions        ,User Interface,0
tab bar vibrates when browser.tabs.tabminwidth set lower        ,User Interface,0
does not open new tab        ,User Interface,0
"[e10s] consider wiping static mem after a tab crash, or look at auditing code for such bugs        ",User Interface,0
"intermittent browser_bug380960.js | tab removed immediately - got [object xulelement], expected null | found an unexpected tab at the end of test run: about:blank -        ",User Interface,0
"inconsistent zoom behavior with main window and those opened with ""open link in new window"" or shift+click depending on cursor position        ",User Interface,0
"windows asan nightly setup ""maintenanceservice_tmp.exe - system error""        ",User Interface,0
clicking outside the sharing doorhanger will not remember the last chosen application (window) in the sharing drop down        ,User Interface,0
undo closed tabs doesn't work if you try to switch to pb right after closing all tabs        ,User Interface,0
"a ""stop all"" button for use on startup/restoring tabs        ",User Interface,0
ctrl+shift+t tabs to open in background        ,User Interface,0
firefox developer edition (windows) doesn't open on first try        ,User Interface,0
"give distributions more control over the display of their name (id) in the ""about"" window        ",User Interface,0
lost all tabs after a nightly upgrade over the weekend        ,User Interface,0
contextual identity is not preserved for a tab that was open as discarded        ,User Interface,0
firefox view saves my tabs despite me selecting in the setting to not remember my history        ,User Interface,0
middle-click on a search bar completion or search engine options doesn't open new tab in foreground like location bar and bookmark        ,User Interface,0
"add automated test for ""new tab preferences - top stories - disable""        ",User Interface,0
subdialog windows won't open on sparc solaris        ,User Interface,0
the address bar remains empty if it takes a long time to connect to a host after opening a link in a new window        ,User Interface,0
"[e10s] when the content process crashes, back/fwd menu is unavailable and the tab crash page itself provides no way to go back either        ",User Interface,0
[ux] the sharing permission should be removed when the shared window is being closed        ,User Interface,0
"when i open [exe] ""elearning xhtml editor"" a web based elearning editor after launching firefox, [exe] opens as a tab and no pop-ups could open        ",User Interface,0
"attributes are not persisted correctly, if the tab is never restored        ",User Interface,0
custom tab sizes in userchrome.css breaks the tab bar        ,User Interface,0
can accidentally create new window when clicking on pinned tabs        ,User Interface,0
top tabs bar is partially displayed when attempting to drag and drop links        ,User Interface,0
cookie management under container tabs        ,User Interface,0
firefox doesn't resize in xmonad on launch in a smaller window.        ,User Interface,0
scrolling a background firefox window using touchpad causes it to jump to foreground        ,User Interface,0
small window of time before wifi is connected that location bar will not react        ,User Interface,0
option to open new tab to the immediate right from current tab        ,User Interface,0
firefox drag tab not full screen on xfce        ,User Interface,0
title of new tab not updated after redirect or location.replace when target page has no <title>        ,User Interface,0
firefox shrink window at launch        ,User Interface,0
add telemetry to measure sent tab failures        ,User Interface,0
highlight differs on the tabs bar on windows 7        ,User Interface,0
"""warn me when closing multiple tabs"" does not warn when using ctrl-shift-w        ",User Interface,0
"""switch to tab"" doesn't appear when searching in awesomebar via typing in special characters after search term        ",User Interface,0
inconsistent selected color with keyboard of one-off search popup in new tab page        ,User Interface,0
windows installer incorrect version number        ,User Interface,0
reword open in a new window to open in a new private window        ,User Interface,0
don't clean up window message listeners for sessionstore if we're in the midst of a shutdown        ,User Interface,0
pressing tab does not give full-focus to bookmarks list in sidebar        ,User Interface,0
"disabling ""warn me when i attempt to close multiple tabs"" is impossible        ",User Interface,0
the proton design tab button has uneven margin on left and right        ,User Interface,0
some new tabs >1.5mb while the others are ~262kb        ,User Interface,0
firefox hangs when opening new window or tab from another application        ,User Interface,0
firefox should show thumbnail previews of svg images in windows explorer        ,User Interface,0
when a youtube.com tab is restored using ctrl+shift+t video should start were it was instead of from the beginning        ,User Interface,0
tab prompt support for select prompts        ,User Interface,0
http authentication with tab-modal shows last page's window title        ,User Interface,0
building nightly 74: gah. your tab just crashed        ,User Interface,0
add option to settings to enable session restore for private tabs on crash in firefox (nightly)        ,User Interface,0
text not appear on customize tab dropdowns in dark theme        ,User Interface,0
investigate browser_windowopen_reflows.js perma-failures on windows 8 x64 and re-enable by default        ,User Interface,0
firefox esr 64 bit does not show up in default apps on windows 10        ,User Interface,0
hardware acceleration is making firefox tab bar glitch in windows 10        ,User Interface,0
rendering window not resized to actual window size        ,User Interface,0
open tabs lose container association on restart        ,User Interface,0
multiple windows opened when clicking hyperlinks in third party software        ,User Interface,0
extremely high memory usage with only 1 or 2 tabs open.        ,User Interface,0
new tabs opens a new window instead        ,User Interface,0
firefox on macos full screen shows save window overlapped        ,User Interface,0
new tab: update meatball menu focus effects when newnewtab is enabled        ,User Interface,0
"intermittent browser_bug1015721.js | tab 2 should have zoomed along with tab 1 - got 1, expected 1.1        ",User Interface,0
right click search should open in a new window when tabbed browsing disabled        ,User Interface,0
rfe popup blocker is not effective against ajax/javascript type modal windows        ,User Interface,0
website options window > more information (ui bug)        ,User Interface,0
dragging firefox tab into spotify desktop app instantly crashes firefox        ,User Interface,0
[rfe] add permission for link targets to open a new window / new tab        ,User Interface,0
firefox last window cannot be closed with window's close ('x') button        ,User Interface,0
"with tab animations disabled, closing current tab to switch to another will visibly load        ",User Interface,0
firefox hardware acceleration window orientation        ,User Interface,0
"pressing tab key when ""choose from thousands of add-ons"" link is focused activates link (opens about:addons)        ",User Interface,0
i want to refresh an existing tab but a new one is opened        ,User Interface,0
"add automated test for ""top stories - context menu - open in a new private window""        ",User Interface,0
inconsistency when using force touch in tabs tray (pick and pop)        ,User Interface,0
difficult to install firefox 45 esr on windows server 2008 standard sp2        ,User Interface,0
starting tab doesn't close until opening and closing a new tab.        ,User Interface,0
"full tab bar responds to up/down scrolling, but not sideways scrolling.        ",User Interface,0
tapping link that opens in new tab shows keyboard        ,User Interface,0
opening rss feed while inprivate window causes feed to be opened in non-private window        ,User Interface,0
firefox update 75.0 lost most of my tabs (not all) using orderly update/restart of firefox        ,User Interface,0
accessibility: indicate the selected tab for screen reader users        ,User Interface,0
firefox hangs when i want to open the options window        ,User Interface,0
click on pin/link to a local page (e.g. file:///c:/index.html) on about:newtab page do not load content into new created and open tab view        ,User Interface,0
firefox 84.0.2 on windows 10 does not delete site preferences when firefox is closed        ,User Interface,0
language is changed when i tab from input element  into a content editable iframe        ,User Interface,0
[meta] suppress the windows »waiting« cursor when possible        ,User Interface,0
firefox doesn't support windows 11 multiple desktops properly        ,User Interface,0
"""homepage and new windows"" breaks the ability to open a new window *without* home pages        ",User Interface,0
add recently closed tabs to the tab context menu        ,User Interface,0
"on gnu+linux some pages ""steal"" the alt+1 hotkey so the firefox hotkey alt+1 to switch tabs doesn't work anymore        ",User Interface,0
saved tabs open different links when firefox reopened        ,User Interface,0
"when pulling out tab into separate window with inspect mode open, the new window closes inspect mode 102.0 firefox for ubuntu        ",User Interface,0
the manage devices... option is too close to the bottom edge of the send tab to device submenu        ,User Interface,0
bookmark all tabs creates bookmarks that have no title and icon for tabs in reader view mode.        ,User Interface,0
can't unmute tabs when sound isn't playing        ,User Interface,0
firefox window size does not adapt to windows remote desktop        ,User Interface,0
regression: a bright flicker appears on the new tab page when opening a new window in system dark mode        ,User Interface,0
"[meta] desktop work required for better ""send tab"" (aka pushbox) prototype        ",User Interface,0
event (e_opened_new_tab) not triggered when opening a new tab via long press on tab counter        ,User Interface,0
window doesn't restore to maximized after minimizing to superbar        ,User Interface,0
leftmost tab should have a left border on overflow        ,User Interface,0
troll links shouldn't be allowed to open hundreds of tabs at once        ,User Interface,0
tabs are not always restored        ,User Interface,0
inactive windows sometimes paint on top of firefox        ,User Interface,0
tabs don‘t go away when tapping on close in ipados        ,User Interface,0
"when opening firefox 102.1.0esr (and firefox 103.0) under the openbox window manager and switching to fullscreen mode, the minimize, restore and close buttons do not appear        ",User Interface,0
tab sync between android and win64dev edition is outright broken        ,User Interface,0
tabs no longer fade        ,User Interface,0
when closing windows one by one until quitting we should be able to revive more windows than max_undo_windows        ,User Interface,0
"""open all in tabs"" should be unavailable when opening context menu on recently bookmarked section header and on other non-bookmark items (in both the main bookmarks menu and the bookmarks toolbar button menu)        ",User Interface,0
no tabs visible after firefox was launched by external program. (link to check for updates)        ,User Interface,0
tab insertion marker moves too far when dragging a tab        ,User Interface,0
minimizing browser should set active state of its topmost tab to false        ,User Interface,0
tabs (and page) smooth scrolling animation duration is hard coded        ,User Interface,0
firefox does not display theme icons under openbox windows manager        ,User Interface,0
inactive firefox window accepts clicks instead of just bringing firefox window to top        ,User Interface,0
don't use shutil.copy2 in mozpack.files.*.copy on windows        ,User Interface,0
"pinned tabs doesn't restore after quit & restart. (session restore doesn't work, either)        ",User Interface,0
firefox home empty and pinned tabs gone        ,User Interface,0
window controls are too far to the right on windows 7 (browser windows only)        ,User Interface,0
unpinning a tab doesn't scroll it into view & scroll button state doesn't update        ,User Interface,0
firefox windows go blank when moving across screens with different scale levels on windows 10        ,User Interface,0
unable to manually clear recently closed tabs        ,User Interface,0
firefox crash using window fatigue        ,User Interface,0
"when download manager window open, difficulty switching amongst firefox windows        ",User Interface,0
'open link in new tab and switch to it' menu item        ,User Interface,0
"move ""recently closed tabs"" from menu into sidebar: ""view"" ""by last viewed""        ",User Interface,0
cli option to switch to existing tab if a website is already opened        ,User Interface,0
show passwords in about:logins asks for wrong windows credentials (smart card instead of user-password)        ,User Interface,0
"virus total flagging firefox (full download windows, 64-bit, english)  version 78.0.2 with this detection maxsecure win.mxreslcn.heur.gen        ",User Interface,0
add the possibility to use backgroundpagethumbs for all new tab thumbnails        ,User Interface,0
"""save tabs"" dialog in linux doesn't follow the gnome human interface guidelines        ",User Interface,0
"customize-mode: allow ""space"" between pinned tabs        ",User Interface,0
duplicating background tab via context menu creates new tab in wrong position        ,User Interface,0
"[ubuntu][search bar] ""change search settings"" is partially displayed if the window is on half of the screen        ",User Interface,0
move selected tabs: add support for dragging and dropping pinned and unpinned tabs        ,User Interface,0
list of all windows and tabs        ,User Interface,0
open multiple tabs becomes slow        ,User Interface,0
firefox hardware accelerated video decoding seems to have stopped working after the latest windows update        ,User Interface,0
"location bar says ""search or enter address"" on unrestored tabs for a short time after switching to it        ",User Interface,0
ff (at least dev edition) requires you to create a config preference to allow tab focusing of links        ,User Interface,0
tabs from other devices menu not showing synced tabs        ,User Interface,0
closing a pinned-tab less window last removes all pinned tabs        ,User Interface,0
"window id in request header wanted, to solve problem of session merging        ",User Interface,0
ios: add send tab event telemetry to measure user funnels        ,User Interface,0
"when the mouse is over the tab, the focus go to the menu        ",User Interface,0
expose cubeb loopback devices to firefox for testing on windows        ,User Interface,0
copy/paste from source window inserts blank lines        ,User Interface,0
pdf fails to display in firefox tab        ,User Interface,0
cycle through windows menu option missing        ,User Interface,0
location bar is cleared after a slight delay after opening private window        ,User Interface,0
new tab tab opens new window        ,User Interface,0
incorrect remoteness on lazy tab browsers upon session restoring a non-remote tab        ,User Interface,0
open previous windows and tabs is not working        ,User Interface,0
enable control of stuff opened in new tabs        ,User Interface,0
menus no longer work when a lot tabs open        ,User Interface,0
white shading on new tab bar is ugly/hard to read if not using standard dark-on-light theme        ,User Interface,0
"""menu bar"" entry in ""popup"" window inoperative on ""popup"" window        ",User Interface,0
firefox will zoom in randomly when i use control tab to scroll through my open tabs.        ,User Interface,0
firefox did not warn user when many tabs were close despite enabling option.        ,User Interface,0
cmd-shift-] stops working for tab navigation if keycode 221 is handled by the page itself        ,User Interface,0
[session restore] provide an api to tell a window is restoring or not        ,User Interface,0
call gets frozen if closing the firefox tab during a web.ciscospark call        ,User Interface,0
assign tab label to bookmark        ,User Interface,0
add automatic setup of windows build environment to sccache        ,User Interface,0
gather telemetry about tab warming        ,User Interface,0
tab load and reload fails after some hours        ,User Interface,0
thunderbird and firefox freeze after windows wake from sleep when using smartcard        ,User Interface,0
when opening the sidebar don't shift the tab modal        ,User Interface,0
intermittent browser_600545.js | found an unexpected tab at the end of test run: http://example.com/#1 -        ,User Interface,0
"on windows 7, yellow dotted focus rings for currently selected item in the library looks weird when using light themes        ",User Interface,0
firefox doesn't rerender canvas until i switch tabs        ,User Interface,0
implement highlighting tabs (browser.tabs.highlight api)        ,User Interface,0
[gtk3] selected tab color in firefox dark theme not consistent with system dark theme.        ,User Interface,0
hole between tabs after closing tab in middle (.tabbrowser-tab:not([pinned]) { max-width   and   min-width)        ,User Interface,0
address bar not focused on new window        ,User Interface,0
"ff4 app tab urls should act more like bookmarks, and not be current-page persistent across restarts        ",User Interface,0
current theme should be shown on new tab customize        ,User Interface,0
the focus changes from window to window involuntarily        ,User Interface,0
give sites some means of recognizing when a new tab has been opened        ,User Interface,0
'open a new tab' (+) button and tab scroll buttons have missing tops on mouseover        ,User Interface,0
ctrl+alt+w or ctrl+opt+w should close all tabs except the active one        ,User Interface,0
"the ""manage account"" link should always open in a non-private window        ",User Interface,0
cannot undo recently closed tabs in separate windows        ,User Interface,0
minimising a firefox 3.6x window with photoshop cs2 running forces focus onto photoshop and causes it not to be able to maximise properly        ,User Interface,0
pinning app tab scrolls tabs to far left        ,User Interface,0
tab key does not work        ,User Interface,0
private window doesn't follow system theme in firefox 106 on kde plasma        ,User Interface,0
"""open link in new tab"" from context menu or from modifier-click should do the same thing        ",User Interface,0
opening firefox with saved tabs the music starts to play        ,User Interface,0
"firefox new tab title's not reported correctly until i change language in the browser settings (""new tab — mozilla firefox"")        ",User Interface,0
flickering images all over the firefox window after duplicated display standby        ,User Interface,0
tab moving in the tab bar has visual issues        ,User Interface,0
"firefox shows nan (not a number)  using type=""number"" in windows 10 when date,time format is persian        ",User Interface,0
previously opened firefox window is not focused when opening a link from other applications        ,User Interface,0
proposal: move all 32-bit firefox users on windows 64-bit systems to 64-bit firefox via updates.        ,User Interface,0
scrollbar on reddit scrolls beyond bottom of window when firefox is maximised        ,User Interface,0
"[windows 10] on a headless machine, firefox is unusable, all-white, blank, browser window        ",User Interface,0
firefox 78 x64 and newer on windows after a while becomes slow        ,User Interface,0
windows/desktop are showing through the firefox window.        ,User Interface,0
"when closing a pop-up tab, ff asks twice if i want firefox to remember and restore all my tabs the next time i start firefox        ",User Interface,0
applying fullscreen mode on html5 videos on youtube cause windows 8 snapping features to stop        ,User Interface,0
"ff nightly 90: ""open in new container tab"" animates old tab out into separate window        ",User Interface,0
win7 jump lists items command to other process firefox's window        ,User Interface,0
start up option 'show my windows and tabs from last time' combined with homepage        ,User Interface,0
last opened tabs were not loaded        ,User Interface,0
prefs.js creation causing 2 firefox windows with custom prefs (mozilla.conf)        ,User Interface,0
does not support windows 7 flick navigation        ,User Interface,0
navigation toolbar shows in fullscreen mode after switching from about:addons to another tab        ,User Interface,0
"""open new windows in new tab"" option has changed behaviour from previous versions        ",User Interface,0
tab to search onboarding is not accessible (as well as any dynamic result)        ,User Interface,0
ctrl+w is attempting to close all tabs vs. open tab or window (pop-up email window).        ,User Interface,0
the “confirm close” dialog does not inform you about how many hidden tabs you have        ,User Interface,0
"tab menus(when right click the mouse) have ""bookmark all tabs..."" item, but not ""bookmark this page"".        ",User Interface,0
firefox unloads tabs with entered text (data loss issue) without low memory condition        ,User Interface,0
"firefox drop down menus are ignoring ""always on top"" property of other windows.        ",User Interface,0
scrolling page with a touch screen scrolls also in the tab bar        ,User Interface,0
firefox window doesn't get focused after using the jump list        ,User Interface,0
windows classic look - favicons are hardly visible        ,User Interface,0
"determine if the indicator needs to be in the ""window"" list on macos        ",User Interface,0
"firefox ""menu"" different between windows        ",User Interface,0
"when a minimized window has a dialog sheet, clicking firefox icon in dock won't restore it        ",User Interface,0
tabs disappear        ,User Interface,0
text centred to line-height is rendered a pixel lower in windows 7 & 8 versions of firefox compared to windows 10 firefox as well as all other major browsers.        ,User Interface,0
opening the pocket subview in m-bc leads to leaked windows and a docshell        ,User Interface,0
show tab favicons immediately        ,User Interface,0
new windows do not retain firefox/windows themes correctly        ,User Interface,0
new tab button styling looks different from tabs        ,User Interface,0
options window opens on the wrong monitor in windows 8.1 when snapped        ,User Interface,0
two tabs active at the same time        ,User Interface,0
responsive issue with resizing window in in firefox developer        ,User Interface,0
[enhancement] let accel+w on a pinned tab switch back to the previous tab instead of the first unpinned tab        ,User Interface,0
"firefox crashes when opening a link in a new tab if using debug version of direct3d 9 (windows xp) and ""break on d3d error"" is set        ",User Interface,0
[meta] [qa-1445] windows firefox default pdf handler - qa bug tracking        ,User Interface,0
drag and drop of text or link should put it in address bar of a new tab (super dnd)        ,User Interface,0
should be able to undo changes in bookmarks from browser window (not only in library)        ,User Interface,0
provide a toggle for the search box in private browsing tabs        ,User Interface,0
restore previous session is broken in 67.0 ... it only remembers the leftmost 10 tabs        ,User Interface,0
sidebar throbber not updated in photon to match tab throbber        ,User Interface,0
"a separate content process should be used for each pdf.js tab, or perhaps shared between all pdf.js tabs        ",User Interface,0
firefox snap crashed with x window system error 'badvalue'        ,User Interface,0
no aero blur applied on floating box borders in firefox on windows        ,User Interface,0
"show a specific set of app tabs on work, home, etc. when user selects it.        ",User Interface,0
parts of window black out on second monitor (firefox str in comment 4)        ,User Interface,0
subsequent 'new window' requests spawn irregularly shaped windows.        ,User Interface,0
key and context menu item to open links in current tab        ,User Interface,0
in normal view only some tabs in view - no option for others        ,User Interface,0
rendering artifacts when firefox window spans across multiple screens        ,User Interface,0
send tab should be an option when links are pressed and held in safari        ,User Interface,0
clickable areas on tabs doesn't extended to the top of the screen on 4k monitors.        ,User Interface,0
rename send tab action extension so that it's identifiable as a firefox feature        ,User Interface,0
record fx_tab_switch_composite_e10s_ms when we display the tab before layers are available        ,User Interface,0
right click on selected navbar text open in new tab        ,User Interface,0
open a new private window from a private window and you have cookies from the first one        ,User Interface,0
"ipad animation polish: tab tray delete last tab, tab animation reverses        ",User Interface,0
unloaded session restored tabs cannot be moved to a new window        ,User Interface,0
"send tab to device:- if i have only one other device, don't show list of devices(same for firefox on android)        ",User Interface,0
"unable to adjust height, and width of devtools window (firefox-nightly)        ",User Interface,0
floating windows are closing when clicking outside of firefox in ubuntu        ,User Interface,0
ctrl+tab navigation is not working when list all tabs is opened        ,User Interface,0
"navigator toolbar favicon does not match tab favicon when viewing ""offline mode"" message.        ",User Interface,0
firefox does not render window contents after startup        ,User Interface,0
"""open a new tab"" button is not visible when the browser is out of focus        ",User Interface,0
"scroll bar from the “hidden tabs” and ""all tabs"" menu is not fully displayed in maximized windows        ",User Interface,0
minimized firefox windows expand when new firefox instance is run.        ,User Interface,0
"remove ""similar"" tabs across devices in tab pickup list        ",User Interface,0
xbox gamepad mapped differently in firefox on linux and windows        ,User Interface,0
cannot tell tab order        ,User Interface,0
tabs alignment bug        ,User Interface,0
"reword ""open link in new private window"" to ""open link in private window"" and open the link in the existing private window, if there is one        ",User Interface,0
open link to right of current tab via context menu        ,User Interface,0
building spidermonkey on windows under visual studio 2019        ,User Interface,0
problem with browser.sessionstore.restore_on_demand for pinned tabs when disabled for normal tabs (nightly v.62.0a1)        ,User Interface,0
tabs show the url name but awesomebar shows about:blank and tab cannot be loaded or refreshed and is gone from the data storage        ,User Interface,0
"after initially launching firefox via keyboard shortcut for windows shortcut that points to firefox executable, can't open new firefox instance using any windows shortcut that points to the firefox executable        ",User Interface,0
private window session data not erasing after closing the window.        ,User Interface,0
windows taskbar disappearing when moving full-sized firefox window to main display        ,User Interface,0
firefox freezes when you move stumble upon toolbar to the tab bar.        ,User Interface,0
playing music on soundcloud causes massive cpu load with tab in foreground        ,User Interface,0
reinstate a custom url setting for new tab        ,User Interface,0
"when i have multiple tabs open, sometimes when i navigate through them, the moment i click the tap, it closes ungracefully. it often happens when am working on something which does not need to be closed.        ",User Interface,0
investigate why enterprise policies are active when more from mozilla tests run on windows 10        ,User Interface,0
repositioning/moving tabs freezes browser        ,User Interface,0
"cfr/""doorhanger"" modals shouldn't hang past the right of the browser window        ",User Interface,0
"the tab switch warning is improperly displayed on linux, on a specific system        ",User Interface,0
when shutting down windows (or logging out) firefox can't be killed by windows        ,User Interface,0
notification on gnome only opens the correct tab if no firefox windows is currently focused        ,User Interface,0
user is able to press cmd+q or firefox->quit multiple times while the close multiple tabs quitting dialogue box is open [mac]        ,User Interface,0
"ubuntu mate, multiple images in an array don't load correctly when resizing window to half screen        ",User Interface,0
"add automated test for ""new tab preferences - top sites - enable show tow rows""        ",User Interface,0
